section,type,atom1,atom2,atom3,atom4,element,mass,charge,sigma,epsilon,k,r0,theta0,Vn,gamma,n,term,weight,molecule,atom_id,x,y,z,title,question

ATOM,C,,,,,C,12.01,0.51,3.40,0.1094,,,,,,,,,,,,,,,
ATOM,H,,,,,H,1.008,0.09,2.50,0.0157,,,,,,,,,,,,,,,
ATOM,O,,,,,O,16.00,-0.51,3.00,0.2100,,,,,,,,,,,,,,,
ATOM,N,,,,,N,14.01,-0.47,3.25,0.1700,,,,,,,,,,,,,,,
ATOM,S,,,,,S,32.07,-0.23,3.55,0.2500,,,,,,,,,,,,,,,

BOND,,C,H,,,,,,,,340.0,1.09,,,,,,,,,,,,,,
BOND,,C,C,,,,,,,,310.0,1.53,,,,,,,,,,,,,,
BOND,,C,O,,,,,,,,320.0,1.43,,,,,,,,,,,,,,
BOND,,C,N,,,,,,,,337.0,1.47,,,,,,,,,,,,,,
BOND,,S,H,,,,,,,,250.0,1.34,,,,,,,,,,,,,,

ANGLE,,H,C,H,,,,,,,,,33.0,,109.5,,,,,,,,,,,,,
ANGLE,,H,C,C,,,,,,,,,35.0,,109.5,,,,,,,,,,,,,
ANGLE,,C,C,O,,,,,,,,,50.0,,120.0,,,,,,,,,,,,,
ANGLE,,C,N,H,,,,,,,,,45.0,,118.0,,,,,,,,,,,,,

DIHEDRAL,,H,C,C,H,,,,,,,,,,,0.15,0.0,3,,,,,,,,,,,
DIHEDRAL,,C,C,C,C,,,,,,,,,,,0.20,180.0,2,,,,,,,,,,,
DIHEDRAL,,H,C,N,H,,,,,,,,,,,0.25,180.0,2,,,,,,,,,,,

NONBONDED,C,,,,,,,,,3.40,0.1094,,,,,,,,,,,,,,,
NONBONDED,H,,,,,,,,,2.50,0.0157,,,,,,,,,,,,,,,
NONBONDED,O,,,,,,,,,3.00,0.2100,,,,,,,,,,,,,,,
NONBONDED,N,,,,,,,,,3.25,0.1700,,,,,,,,,,,,,,,
NONBONDED,S,,,,,,,,,3.55,0.2500,,,,,,,,,,,,,,,

DOCKING,,,,,,,,,,,,,,,,,vdW,0.1662,,,,,,,,,
DOCKING,,,,,,,,,,,,,,,,,hbond,0.1209,,,,,,,,,
DOCKING,,,,,,,,,,,,,,,,,electrostatic,0.1406,,,,,,,,,
DOCKING,,,,,,,,,,,,,,,,,torsional,0.2983,,,,,,,,,
DOCKING,,,,,,,,,,,,,,,,,desolvation,0.1322,,,,,,,,,

MOLECULE,,,,,,,,,,,,,,,,,,,,Methane,1,0.000,0.000,0.000,,
MOLECULE,,,,,,,,,,,,,,,,,,,,Methane,2,0.629,0.629,0.629,,
MOLECULE,,,,,,,,,,,,,,,,,,,,Methane,3,-0.629,-0.629,0.629,,
MOLECULE,,,,,,,,,,,,,,,,,,,,Methane,4,-0.629,0.629,-0.629,,
MOLECULE,,,,,,,,,,,,,,,,,,,,Methane,5,0.629,-0.629,-0.629,,

MOLECULE,,,,,,,,,,,,,,,,,,,,Water,1,0.000,0.000,0.000,,
MOLECULE,,,,,,,,,,,,,,,,,,,,Water,2,0.958,0.000,0.000,,
MOLECULE,,,,,,,,,,,,,,,,,,,,Water,3,-0.239,0.927,0.000,,

MOLECULE,,,,,,,,,,,,,,,,,,,,Ammonia,1,0.000,0.000,0.000,,
MOLECULE,,,,,,,,,,,,,,,,,,,,Ammonia,2,0.937,0.000,0.000,,
MOLECULE,,,,,,,,,,,,,,,,,,,,Ammonia,3,-0.469,0.812,0.000,,
MOLECULE,,,,,,,,,,,,,,,,,,,,Ammonia,4,-0.469,-0.812,0.000,,

ASSIGNMENT,,,,,,,,,,,,,,,,,,,,,,,,,Predict Bond Energy,Estimate energy of C-H bond before calculation
ASSIGNMENT,,,,,,,,,,,,,,,,,,,,,,,,,Lennard-Jones Interpretation,Explain attraction vs repulsion regions
ASSIGNMENT,,,,,,,,,,,,,,,,,,,,,,,,,Docking Score Analysis,Which term dominates binding and why?
